098103-GPE TOTVSGPE
098103-LAB TOTVSLab
TFCFPO	AGRICOLA
TEZAES	ALEAMEX
TEZMAK	ALEUIS
TEZOOP	ARPILLAS
TEZAMX	ATLAS
TFBLO1	BALTIC
TFBLK6	BAXALTA
TEZJGY	BLACKBOX
TFCFSS	BOCAV
TEZNVF	CASAL
TEVVKI	CHARRAS
T54140	CHENSON
TEZCYM	CLOSEUP
TFCFG3	CONFIANZA
TFCDUX	CUSHMAN
TFBKS8	CYPSA
TEXNAD	DAILYDERM
TEZKZN	DANKEL
TAAG87	DERSYA
T59062	DICENTRAL
TEZMNC	EEPREMIER
TEZOAT	ENVASES
TEZJVZ	FLOCK
TEVVXW	FYFMUEB
TAAK48/TEWLYW/TEWTZP	GAMA
098103-GPE	GPE
TFBTU6	HEINZ
TFCBV1	IBIZ
TFCEMD	INSISCOMP
AXR6XQ	INTELBRAS
TFBJQY	INTERGLOBO
TFBSW7	KINETIC
TEZBUN	LACTALIS
T59683	LORSA
TFBQUQ	M2L
T59054	MASTER
TEZNTS	MIDDLEBY
T76541	NEOGAS
TFCFX4	NowTeam
TFBJDU	ORTED
TFBR18	PLP
T59013	POLLOPEPE
TAA456	PROGINOX
EVYG9P	PROTEAK
T87579	RAYMOND
TFCDL6	REMOSA
TFBLL2	SALOG
TEZIJF	SANTAANA
TFCERZ	SECEYCO
TEXPX0	SECOPLA
TEZZNI1	SEIELECTRICMX
TFAGPI	SEIELECTRICUSA
T60119	SHIRE
TFABSL	SINDELANTAL
TEZOPH	STEFANINI
TFC964	TAMEX
TFCEK6	TEKNEI
TEWBOB	TEXZIM
TEZKXM	TGS
TEVVKE	TORRENT
TEZMH5	VERTEBRO
TF1279	YAESTRENA
